1.29	1.29	1.29	1.24	1.02	1.14	1.35	1.22	1.02	1.02	1.04	1.04	1.05	1.05
1.32	1.32	1.32	1.27	1.02	1.17	1.50	1.31	1.04	1.00	1.03	1.04	1.04	1.04
1.38	1.38	1.38	1.31	1.05	1.24	1.59	1.39	1.07	1.02	1.03	1.03	1.03	1.03
1.38	1.38	1.38	1.33	1.09	1.28	1.74	1.58	1.12	1.02	1.02	1.03	1.02	1.02
1.36	1.36	1.36	1.33	1.05	1.30	1.87	1.64	1.15	1.01	1.01	1.01	1.02	1.02
1.48	1.48	1.48	1.41	1.13	1.39	2.06	1.74	1.20	1.02	1.00	1.01	1.01	1.01
1.45	1.45	1.45	1.40	1.18	1.43	2.17	1.89	1.29	1.04	1.00	1.00	1.00	1.00
1.00	1.00	1.00	1.00	1.01	1.10	1.07	1.27	1.43	1.44	1.38	1.39	1.41	1.41
1.06	1.06	1.06	1.01	1.00	1.05	1.02	1.20	1.31	1.34	1.34	1.33	1.31	1.31
1.09	1.09	1.09	1.06	1.02	1.05	1.02	1.13	1.23	1.31	1.29	1.28	1.29	1.29
1.14	1.14	1.14	1.06	1.03	1.02	1.00	1.08	1.16	1.25	1.23	1.23	1.23	1.23
1.18	1.18	1.18	1.09	1.01	1.00	1.02	1.00	1.11	1.19	1.20	1.19	1.18	1.18
1.20	1.20	1.20	1.10	1.00	1.01	1.07	1.01	1.06	1.14	1.15	1.15	1.14	1.14
1.23	1.23	1.23	1.11	1.00	1.04	1.14	1.02	1.05	1.12	1.12	1.12	1.12	1.12
1.23	1.23	1.23	1.15	1.00	1.07	1.20	1.04	1.00	1.08	1.08	1.09	1.11	1.11
1.29	1.29	1.29	1.15	1.00	1.11	1.32	1.09	1.01	1.05	1.07	1.07	1.10	1.10
1.30	1.30	1.30	1.18	1.03	1.15	1.41	1.18	1.01	1.03	1.04	1.06	1.08	1.08
1.26	1.26	1.26	1.19	1.00	1.18	1.48	1.29	1.00	1.01	1.04	1.05	1.06	1.06
1.36	1.36	1.36	1.22	1.02	1.21	1.66	1.36	1.06	1.00	1.02	1.04	1.04	1.04
1.37	1.37	1.37	1.27	1.05	1.29	1.79	1.52	1.11	1.02	1.02	1.03	1.03	1.03
1.40	1.40	1.40	1.28	1.09	1.34	1.97	1.65	1.14	1.01	1.00	1.02	1.02	1.02
1.38	1.38	1.38	1.25	1.06	1.38	2.13	1.67	1.20	1.01	1.00	1.01	1.01	1.01
1.48	1.48	1.48	1.34	1.12	1.46	2.34	1.91	1.25	1.03	1.00	1.00	1.01	1.01
1.47	1.47	1.47	1.32	1.17	1.51	2.47	2.08	1.33	1.07	1.00	1.00	1.00	1.00
